left_knee_angle,right_knee_angle,avg_knee_angle,sitting_depth,torso_lean,lateral_lean,forward_lean,left_knee_dev,right_knee_dev,knee_bend_delta,hip_level_delta,com_lateral_offset,min_visibility,label,video_file,frame_idx
130.39423022089667,138.01300246990078,134.20361634539873,0.42733963840401684,8.416585922241211,1.5341505828325912,8.416585922241211,-0.049696922302246094,-0.07255819439888,7.61877224900411,0.0024980902671813965,0.030500516295433044,0.9792230129241943,weight_shift,weight_shift_03.mp4,0
130.2035794182062,137.99460215523897,134.09909078672257,0.42821658733222084,9.632928967475891,1.6210065127197146,9.632928967475891,-0.048238158226013184,-0.07269522547721863,7.791022737032762,0.0022894740104675293,0.03214959800243378,0.9727805852890015,weight_shift,weight_shift_03.mp4,3
131.4388861919627,137.743602669754,134.59124443085835,0.42899904306443193,9.164481163024902,1.797936759880427,9.164481163024902,-0.04594230651855469,-0.07459339499473572,6.304716477791317,0.002795577049255371,0.033033937215805054,0.9781854152679443,weight_shift,weight_shift_03.mp4,6
131.774553931082,137.59588897544134,134.68522145326168,0.4289969273922987,9.61907833814621,1.6732008071627928,9.61907833814621,-0.04478389024734497,-0.07435271143913269,5.82133504435933,0.001545041799545288,0.034075409173965454,0.9759241938591003,weight_shift,weight_shift_03.mp4,9
132.5437564672127,137.07415520315502,134.80895583518384,0.42863553809879834,9.436112344264984,2.178480960639809,9.436112344264984,-0.043464064598083496,-0.07576674222946167,4.5303987359423274,0.002411067485809326,0.03538644313812256,0.9734379053115845,weight_shift,weight_shift_03.mp4,12
131.60833006353624,136.2910029337747,133.94966649865546,0.42866379956971806,8.740800023078918,2.2210689678610844,8.740800023078918,-0.04458653926849365,-0.07722076773643494,4.682672870238463,0.003142714500427246,0.036030352115631104,0.975860595703125,weight_shift,weight_shift_03.mp4,15
131.8774178583559,136.03994411683837,133.95868098759712,0.428985038975106,8.823711574077606,1.946517849712802,8.823711574077606,-0.04395562410354614,-0.07837477326393127,4.1625262584824725,0.003082871437072754,0.037089839577674866,0.9717556834220886,weight_shift,weight_shift_03.mp4,18
133.2585597364221,136.9529771170133,135.1057684267177,0.4296120254510463,8.821192979812622,2.314187154252967,8.821192979812622,-0.041116178035736084,-0.0786372721195221,3.6944173805912044,0.0042040348052978516,0.03897421061992645,0.9748874306678772,weight_shift,weight_shift_03.mp4,21
133.0271702096841,137.1403753570743,135.0837727833792,0.43101495717168187,8.655740022659302,2.4264324362031418,8.655740022659302,-0.04087722301483154,-0.07845136523246765,4.113205147390204,0.0036610662937164307,0.03981567919254303,0.9763668179512024,weight_shift,weight_shift_03.mp4,24
132.41143172448028,135.97857128511782,134.19500150479905,0.4283106036064751,8.805504143238068,2.893791161702141,8.805504143238068,-0.04171860218048096,-0.07989230751991272,3.5671395606375427,0.005108624696731567,0.03914852440357208,0.9718160033226013,weight_shift,weight_shift_03.mp4,27
133.72473967222766,136.5967072782643,135.16072347524596,0.42526716338726195,8.645727038383484,3.0117209908926084,8.645727038383484,-0.03935950994491577,-0.0794445276260376,2.871967606036634,0.004781812429428101,0.04047396779060364,0.9735958576202393,weight_shift,weight_shift_03.mp4,30
133.36811611946385,136.62191242493478,134.9950142721993,0.42827434555810073,8.128388226032257,3.2059319953581604,8.128388226032257,-0.03936457633972168,-0.0794638991355896,3.253796305470928,0.005503714084625244,0.041217654943466187,0.9716833829879761,weight_shift,weight_shift_03.mp4,33
132.61734331260814,136.90273485459204,134.76003908360008,0.42558133708587653,8.125646412372589,3.5017923537283466,8.125646412372589,-0.04153621196746826,-0.07925757765769958,4.285391541983898,0.005266338586807251,0.04167872667312622,0.9706422686576843,weight_shift,weight_shift_03.mp4,36
